coyote_id,collar_id,ID,capture_datetime,start_3d,end,season
C1,35076,F1,2020-11-12 01:20:00,2020-11-15 01:20:00,2021-01-07 01:20:00,1
C2,35078,F2,2021-01-11 08:25:00,2021-01-14 08:25:00,2021-03-08 08:25:00,1
C3,35075,M1,2021-01-20 12:53:00,2021-01-23 12:53:00,2021-03-17 12:53:00,1
C4,35074,M2,2021-02-05 03:06:00,2021-02-08 03:06:00,2021-04-02 03:06:00,1
C5,35074,M3,2021-11-30 08:49:00,2021-12-03 08:49:00,2022-03-03 00:00:00,2
C6,35075,M4,2021-12-03 04:07:00,2021-12-06 04:07:00,2022-03-03 00:00:00,2
C7,35076,F3,2021-12-09 03:00:00,2021-12-12 03:00:00,2022-03-03 00:00:00,2
C8,35077,M5,2021-12-10 07:45:00,2021-12-13 07:45:00,2022-03-03 00:00:00,2
C9,35078,F4,2021-12-10 09:43:00,2021-12-13 09:43:00,2022-03-03 00:00:00,2
,,,,,,